station,lat,lon,elevation,n_obs,peak_sustained_wind,peak_gust,time_peak_sustained,time_peak_gust,mean_wind,max_1hr_mean_wind,pct_missing_wind,pct_missing_gust
KDSM,41.5339,-93.6531,294.0,23,22.635536000000002,33.43886,2020-08-10 16:00:00,2020-08-10 16:00:00,7.157481739130437,10.160269,0.0,56.52173913043478
KCID,41.8829,-91.7246,265.0,21,22.121092,30.352196,2020-08-10 17:35:00,2020-08-10 17:31:00,5.9732664444444445,7.630919333333332,14.285714285714285,85.71428571428571
KDVN,41.6133,-90.5948,229.0,12,5.14444,7.71666,2020-08-10 16:52:00,2020-08-10 16:52:00,3.2581453333333337,3.3205021818181817,0.0,91.66666666666666
KMCW,43.1544,-93.3261,370.0,31,8.231104,13.375544,2020-08-10 14:33:00,2020-08-10 16:53:00,3.8168425806451616,6.001846666666666,0.0,83.87096774193549
KOTM,41.1008,-92.4446,258.0,11,5.6588840000000005,,2020-08-10 15:53:00,,4.115552,4.115552,0.0,100.0
KORD,41.9602,-87.9316,205.0,32,15.947764000000001,27.779976,2020-08-10 20:49:00,2020-08-10 20:49:00,5.81964775,9.774436,0.0,71.875
KMDW,41.786,-87.7524,188.0,28,16.976652,32.409972,2020-08-10 20:53:00,2020-08-10 20:57:00,5.456780999999999,8.145363333333334,0.0,78.57142857142857
KMLI,41.4485,-90.5075,181.0,26,25.207756,35.496636,2020-08-10 18:49:00,2020-08-10 18:49:00,6.566726352941177,8.145363333333334,34.61538461538461,84.61538461538461
KIND,39.7084,-86.3048,241.0,31,11.832212,22.635536000000002,2020-08-10 23:31:00,2020-08-10 23:45:00,4.380407685161289,5.9598337400000005,0.0,83.87096774193549
KCVG,39.0431,-84.6717,267.0,19,5.14444,,2020-08-10 19:52:00,,2.9242080000000006,3.5153673333333337,0.0,100.0
